reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0cf62629-96cf-4dd3-bdcd-f91715b3663d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Leny Batuwael,5,0,,2024-09-12 02:19:25,,,
8d9fb9c4-1ae5-4b68-bf4a-b48078141e50,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat senang,5,0,36.3.3,2024-09-12 02:18:21,,,36.3.3
517a9c56-d15f-4e8a-a75b-519623d36f7e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tingkat kan yang lebih baik lagi,5,0,,2024-09-12 02:13:45,,,
b5892ecb-fe07-4cb7-95fe-b3538b7b4f40,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mau buka akun watsapp,5,0,35.6.3,2024-09-12 02:13:15,,,35.6.3
778392fe-26e3-4395-a54c-c67bf473b60d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baguss👏🤏,5,0,36.2.4,2024-09-12 02:12:49,,,36.2.4
e0297d6a-ee08-4eda-8378-0e7905d9ce3f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,akun tiktok saya paylater nya hilang,1,0,36.3.3,2024-09-12 02:12:30,,,36.3.3
794a0f45-e8b8-40e3-b7a7-54b188d7263f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Iya,5,0,,2024-09-12 02:12:16,,,
ae5d5276-e0ce-4c7b-9d31-c9f43e73cdd8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus,membuat saya tertawa di saat saya Sedang sedih karna masalah orang tua. Pokoknya keren 😎",5,0,,2024-09-12 02:10:01,,,
1194ade0-ed63-4af2-bddc-836359da1c3a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Stuk logo trusss capekk harus bolak balik install ulang,1,0,36.3.3,2024-09-12 02:09:50,,,36.3.3
dc541c43-6219-4cb0-96c6-d30aa7e7a473,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini kenapa yaa pas waktu ganti nama kok gak bisa,,padahal apknya bagus,sangat cocok,mohon diperbaiki lagi ya apk tiktoknya,agar nama nya bisa diganti🙏",3,0,36.3.3,2024-09-12 02:09:28,,,36.3.3
19aaaa1d-7613-40b1-9ae2-43227cf2d17c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus sangat menghiburr,4,0,36.4.4,2024-09-12 02:08:41,,,36.4.4
